bag_time_unix_s,candidate_id,condition_id,extent_m,frame_index,intensity_mean,lidar_rank,point_count,radial_velocity_mean_mps,voxel_count,voxel_persistence_fraction,x_m,y_m,z_m
1770273508.3302617,300m_roundtrip_10_e0001,300m_roundtrip_10,1.9456499159756475,18,33.5609756097561,1,41.0,-7.69073172313411,4.0,0.007991696938245979,256.3280542885385,-78.65851127810595,-23.560613120474468
1770273509.3452263,300m_roundtrip_10_e0001,300m_roundtrip_10,1.20033535523233,19,31.0,1,70.0,-5.570999915259225,4.0,0.012583586626139818,259.6934343610491,-79.1326187133789,-23.908868489946638
1770273510.3418534,300m_roundtrip_10_e0001,300m_roundtrip_10,2.3768121043948347,20,28.017857142857142,1,56.0,-4.129642865487507,8.0,0.012613981762917932,262.0636662074498,-79.66360296521869,-24.071838515145437
1770273511.341968,300m_roundtrip_10_e0001,300m_roundtrip_10,2.166512085415554,21,28.869565217391305,1,46.0,-3.085217403328937,8.0,0.009250693802035151,263.8930889627208,-79.82434811799422,-24.437078268631645
1770273512.3209796,300m_roundtrip_10_e0001,300m_roundtrip_10,2.4984923214484005,22,25.11111111111111,1,9.0,-1.4933333264456854,4.0,0.013711583924349883,265.0601738823785,-80.29521772596571,-24.72191619873047
1770273513.3311071,300m_roundtrip_10_e0001,300m_roundtrip_10,0.0,23,47.22727272727273,1,22.0,-0.009999999776482582,1.0,0.05106382978723403,265.22413635253906,-81.00304551558061,-24.822329000993207
1770273514.3398116,300m_roundtrip_10_e0001,300m_roundtrip_10,2.056572653331381,24,47.166666666666664,1,24.0,-0.03041666637485226,3.0,0.04840425531914893,265.2013282775879,-80.93258253733318,-24.842063665390015
1770273515.3348556,300m_roundtrip_10_e0001,300m_roundtrip_10,0.0,25,35.25,1,4.0,-0.05750000011175871,1.0,0.05106382978723404,265.2212829589844,-81.04247856140137,-24.703494548797607
1770273516.3290899,300m_roundtrip_10_e0001,300m_roundtrip_10,1.2496435765258485,26,43.4,1,15.0,-0.007333333666125933,2.0,0.04822695035460992,265.2172709147136,-80.91448974609375,-24.64023119608561
1770273517.3134463,300m_roundtrip_10_e0001,300m_roundtrip_10,1.2980836407784524,27,50.5,1,6.0,-0.0533333346247673,2.0,0.04751773049645389,265.2576090494792,-80.85714848836263,-24.61542574564616
1770273518.3289845,300m_roundtrip_10_e0001,300m_roundtrip_10,1.2024607397396267,28,47.6,1,15.0,-0.046000000461935996,2.0,0.04964539007092198,265.23643391927084,-80.96006876627604,-24.6776917775472
1770273519.336795,300m_roundtrip_10_e0001,300m_roundtrip_10,2.017385883721478,29,26.0,1,4.0,-0.10000000055879354,3.0,0.035106382978723406,265.2867660522461,-80.37454986572266,-24.53563404083252
1770273520.326547,300m_roundtrip_10_e0001,300m_roundtrip_10,0.0,30,38.6,1,5.0,-0.051999999955296514,1.0,0.05106382978723404,265.211962890625,-81.02421264648437,-24.671866607666015
1770273521.3269856,300m_roundtrip_10_e0001,300m_roundtrip_10,0.0,31,44.958333333333336,1,24.0,-0.07666666619479656,1.0,0.05106382978723404,265.2100550333659,-81.03448549906413,-24.798307816187542
1770273522.3345158,300m_roundtrip_10_e0001,300m_roundtrip_10,1.1918321218911339,32,28.5,1,6.0,-0.12666666631897291,2.0,0.04397163120567376,265.3275400797526,-80.71400833129883,-24.461337725321453
