frame,cx,cy,cz,height,background,neighborhood,cluster,source_frame,header_time,bag_time,raw,intensity,height_direct,median_vr,mean_intensity,range,center_observed,center_support
0,298.18212890625,52.41015625,19.00791358947754,14,0,0,0,7,1649364319.999892,1773980350.1276867,14,14,14,-3.8249998092651367,23.14285659790039,303.3491507425692,True,14
1,298.4639587402344,55.22138214111328,18.840828895568848,0,0,0,0,8,1649364320.999903,1773980353.8327527,0,0,0,nan,nan,304.1136507063425,False,0
2,298.74578857421875,58.03260803222656,18.673744201660156,8,0,0,0,9,1649364322.999925,1773980357.5615067,8,8,8,0.18000000715255737,25.0,304.90250656293875,True,8
3,298.6854248046875,58.14492416381836,18.656856536865234,1,0,0,0,10,1649364323.999932,1773980361.1893854,1,1,1,0.019999999552965164,31.0,304.8637293818502,False,0
4,298.62506103515625,58.257240295410156,18.639968872070312,2,0,0,0,11,1649364324.999947,1773980364.9817796,2,2,2,0.009999999776482582,29.5,304.8250015412773,True,2
5,298.5760498046875,58.2476806640625,18.636905670166016,2,0,0,0,12,1649364325.999958,1773980368.7431953,2,2,2,-0.04000000283122063,16.5,304.7749728450033,True,2
6,298.3060302734375,57.544647216796875,18.68992805480957,3,0,0,0,13,1649364326.999966,1773980372.3863754,3,3,3,1.3700000047683716,15.0,304.3800051440577,True,3
7,298.0660705566406,53.56409454345703,18.868404388427734,5,0,0,0,14,1649364327.999977,1773980376.2037666,5,5,5,2.640000104904175,19.799999237060547,303.4279343196699,True,5
8,297.5523681640625,47.56185531616211,18.8096866607666,13,13,13,13,15,1649364328.999993,1773980379.950289,13,13,13,3.4000000953674316,21.230770111083984,301.91612443430967,True,13
9,296.9430847167969,39.950111389160156,19.0030460357666,20,20,20,20,16,1649364329.999841,1773980383.5099049,20,20,20,3.4600000381469727,20.0,300.220456864236,True,20
10,295.9881184895833,27.06966324647268,19.352488199869793,0,0,0,0,17,1649364331.999864,1773980387.1286995,0,0,0,nan,nan,297.8527350131389,False,0
11,295.0331522623698,14.189215103785198,19.70193036397298,0,0,0,0,18,1649364332.99989,1773980390.748947,0,0,0,nan,nan,296.03050656849376,False,0
12,294.07818603515625,1.3087669610977173,20.051372528076172,5,5,5,5,19,1649364333.999885,1773980394.3774424,5,5,5,2.4100000858306885,22.200000762939453,294.7638884140086,True,5
13,292.93592834472656,-9.42443197965622,20.370779037475586,0,0,0,0,20,1649364334.999901,1773980397.8904731,0,0,0,nan,nan,293.79456542271095,False,0
14,291.7936706542969,-20.157630920410156,20.690185546875,4,4,4,4,21,1649364335.999908,1773980401.5887835,4,4,4,0.36500000953674316,26.25,293.2199858403173,True,4
15,290.74786376953125,-30.485782623291016,21.06900978088379,2,2,2,2,22,1649364336.999924,1773980405.2237008,2,2,2,-0.1550000011920929,29.0,293.09999386190276,True,2
16,289.5774841308594,-40.810829162597656,21.43060302734375,3,3,3,3,23,1649364337.99993,1773980408.8328433,3,3,3,-0.550000011920929,23.33333396911621,293.2233173514897,True,3
17,289.0072937011719,-47.31336975097656,21.550339698791504,0,0,0,0,24,1649364338.999945,1773980412.5411446,0,0,0,nan,nan,293.64636539688576,False,0
18,288.4371032714844,-53.81591033935547,21.670076370239258,8,8,8,8,25,1649364339.999952,1773980416.3420234,8,8,8,-0.11999999731779099,22.125,294.2137096723919,True,8
19,288.458740234375,-53.2740592956543,21.603330612182617,7,7,7,7,26,1649364340.999972,1773980419.9794369,8,7,7,0.09000000357627869,14.714285850524902,294.13138918683734,True,7
20,288.2707824707031,-53.36666488647461,21.68657684326172,2,2,2,2,27,1649364341.999973,1773980423.627639,2,2,2,0.10000000149011612,20.0,293.96998581922514,True,2
21,288.86036682128906,-47.9340877532959,21.57520866394043,0,0,0,0,28,1649364343.999994,1773980427.2103057,0,0,0,nan,nan,293.60428797577686,False,0
22,289.449951171875,-42.50151062011719,21.46384048461914,5,5,5,5,29,1649364344.999844,1773980430.8846738,5,5,5,0.7799999713897705,25.600000381469727,293.33998889810766,True,5
23,289.9926452636719,-37.02825736999512,21.353649139404297,0,0,0,0,30,1649364345.999855,1773980434.4971764,0,0,0,nan,nan,293.125919158387,False,0
24,290.53533935546875,-31.555004119873047,21.243457794189453,2,2,2,2,31,1649364346.999866,1773980438.175528,2,2,2,0.009999999776482582,18.0,293.01499312911636,True,2
25,291.8340759277344,-19.926090240478516,20.86414909362793,3,3,3,3,32,1649364347.999876,1773980441.7061865,3,3,3,-0.7900000214576721,35.0,293.2566958524007,True,3
26,293.01763916015625,-5.934202671051025,20.473670959472656,5,5,5,5,33,1649364348.999888,1773980445.3333669,5,5,5,-1.3300000429153442,24.600000381469727,293.79197201913024,True,5
27,294.13555908203125,7.667250633239746,20.191219329833984,4,4,4,4,34,1649364349.999898,1773980448.9732819,4,4,4,-2.799999952316284,24.5,294.9274473269612,True,4
28,295.40313720703125,22.40309715270996,19.81824493408203,8,8,8,8,35,1649364350.999909,1773980452.6384976,8,8,8,-4.224999904632568,23.875,296.91358181473805,True,8
29,296.61395263671875,35.541481018066406,19.538984298706055,5,5,5,5,36,1649364351.999921,1773980456.4806776,5,5,5,-5.369999885559082,33.400001525878906,299.37402305337093,True,5
