frame,source_frame,header_time,bag_time,x,y,z,range,radial_velocity,intensity,label_status
0,7,1649364319.999892,1773980350.1276867,298.2304382324219,51.94406509399414,19.06446647644043,303.32000732421875,-3.7899999618530273,17.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.1676025390625,51.93379211425781,19.120328903198242,303.260009765625,-3.950000047683716,25.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.14794921875,51.930362701416016,19.119070053100586,303.2400207519531,-3.9100000858306885,23.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.1440734863281,51.930362701416016,19.178695678710938,303.2399597167969,-3.9100000858306885,18.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.1927490234375,52.552032470703125,18.942296981811523,303.3800354003906,-3.9100000858306885,23.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.23394775390625,52.558963775634766,18.91497230529785,303.4200134277344,-3.7899999618530273,16.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.2037658691406,52.61526107788086,18.913057327270508,303.3999938964844,-3.7899999618530273,25.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.2037658691406,52.61526107788086,18.913057327270508,303.3999938964844,-3.809999942779541,32.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.19207763671875,52.613529205322266,18.9422550201416,303.3900146484375,-3.7899999618530273,25.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.1723937988281,52.61005783081055,18.941003799438477,303.3699951171875,-3.8399999141693115,13.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.1822204589844,52.611793518066406,18.94162940979004,303.3800048828125,-3.859999895095825,15.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.1685791015625,52.61005783081055,19.000638961791992,303.3699645996094,-3.8399999141693115,25.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.15496826171875,52.60832214355469,19.05964469909668,303.3599853515625,-3.809999942779541,34.0,trajectory-guided pseudo ground truth
0,7,1649364319.999892,1773980350.1276867,298.15496826171875,52.60832214355469,19.05964469909668,303.3599853515625,-3.809999942779541,33.0,trajectory-guided pseudo ground truth
2,9,1649364322.999925,1773980357.5615067,298.7762145996094,58.037837982177734,18.619409561157227,304.92999267578125,0.33000001311302185,20.0,trajectory-guided pseudo ground truth
2,9,1649364322.999925,1773980357.5615067,298.737060546875,58.03022766113281,18.616968154907227,304.8900146484375,0.20999999344348907,18.0,trajectory-guided pseudo ground truth
2,9,1649364322.999925,1773980357.5615067,298.7430725097656,58.032127380371094,18.677326202392578,304.89996337890625,0.18000000715255737,19.0,trajectory-guided pseudo ground truth
2,9,1649364322.999925,1773980357.5615067,298.7430725097656,58.032127380371094,18.677326202392578,304.89996337890625,0.18000000715255737,24.0,trajectory-guided pseudo ground truth
2,9,1649364322.999925,1773980357.5615067,298.7724914550781,58.037837982177734,18.679166793823242,304.92999267578125,0.09000000357627869,30.0,trajectory-guided pseudo ground truth
2,9,1649364322.999925,1773980357.5615067,298.7608337402344,58.03593826293945,18.70842933654785,304.9200134277344,0.07000000029802322,36.0,trajectory-guided pseudo ground truth
2,9,1649364322.999925,1773980357.5615067,298.7216491699219,58.028324127197266,18.705974578857422,304.8800354003906,0.18000000715255737,32.0,trajectory-guided pseudo ground truth
2,9,1649364322.999925,1773980357.5615067,298.7118225097656,58.02642059326172,18.705358505249023,304.8699645996094,0.14000000059604645,21.0,trajectory-guided pseudo ground truth
3,10,1649364323.999932,1773980361.1893854,298.66680908203125,58.048728942871094,18.702543258666992,304.8299560546875,0.019999999552965164,31.0,trajectory-guided pseudo ground truth
4,11,1649364324.999947,1773980364.9817796,298.6280822753906,58.25819396972656,18.67013931274414,304.8299865722656,0.019999999552965164,33.0,trajectory-guided pseudo ground truth
4,11,1649364324.999947,1773980364.9817796,298.6220397949219,58.25628662109375,18.609800338745117,304.82000732421875,0.0,26.0,trajectory-guided pseudo ground truth
5,12,1649364325.999958,1773980368.7431953,298.5399475097656,58.24099349975586,18.66462516784668,304.7400207519531,-0.15000000596046448,17.0,trajectory-guided pseudo ground truth
5,12,1649364325.999958,1773980368.7431953,298.6121826171875,58.254371643066406,18.60918617248535,304.8099670410156,0.07000000029802322,16.0,trajectory-guided pseudo ground truth
6,13,1649364326.999966,1773980372.3863754,298.34771728515625,57.552215576171875,18.652605056762695,304.4200134277344,1.4600000381469727,21.0,trajectory-guided pseudo ground truth
6,13,1649364326.999966,1773980372.3863754,298.2949523925781,57.54275894165039,18.709203720092773,304.3699645996094,1.3700000047683716,11.0,trajectory-guided pseudo ground truth
6,13,1649364326.999966,1773980372.3863754,298.2753601074219,57.538978576660156,18.707975387573242,304.3499755859375,1.3200000524520874,13.0,trajectory-guided pseudo ground truth
7,14,1649364327.999977,1773980376.2037666,298.3172607421875,53.3128776550293,18.860353469848633,303.6299743652344,2.5,13.0,trajectory-guided pseudo ground truth
7,14,1649364327.999977,1773980376.2037666,298.1007080078125,53.581748962402344,18.78680419921875,303.46002197265625,2.640000104904175,18.0,trajectory-guided pseudo ground truth
7,14,1649364327.999977,1773980376.2037666,298.0069885253906,53.567626953125,19.020265579223633,303.3800048828125,2.4100000858306885,25.0,trajectory-guided pseudo ground truth
7,14,1649364327.999977,1773980376.2037666,297.9477844238281,53.67821502685547,18.836994171142578,303.3299560546875,2.859999895095825,25.0,trajectory-guided pseudo ground truth
7,14,1649364327.999977,1773980376.2037666,297.9576110839844,53.679988861083984,18.837614059448242,303.3399658203125,2.8299999237060547,18.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.4874572753906,47.82990646362305,18.897493362426758,301.8999938964844,3.190000057220459,28.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.48138427734375,47.82832717895508,18.83737564086914,301.8899841308594,3.2100000381469727,21.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.5541076660156,47.839412689208984,18.7822322845459,301.9599914550781,3.4200000762939453,17.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.6252136230469,47.54439163208008,18.726957321166992,301.98004150390625,3.3299999237060547,14.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.6252136230469,47.54439163208008,18.726957321166992,301.98004150390625,3.3499999046325684,18.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.6214294433594,47.54439163208008,18.786479949951172,301.97998046875,3.380000114440918,24.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.6214294433594,47.54439163208008,18.786479949951172,301.97998046875,3.4000000953674316,32.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.6214294433594,47.54439163208008,18.786479949951172,301.97998046875,3.4200000762939453,32.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.4993896484375,47.52549362182617,18.83851432800293,301.8599853515625,3.7799999713897705,25.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.4304504394531,47.51447677612305,18.834150314331055,301.7900390625,3.569999933242798,19.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.48577880859375,47.523921966552734,18.897388458251953,301.8500061035156,3.380000114440918,18.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.5438537597656,47.2571907043457,18.81145477294922,301.8599853515625,3.4000000953674316,12.0,trajectory-guided pseudo ground truth
8,15,1649364328.999993,1773980379.950289,297.5832824707031,47.26345443725586,18.813949584960938,301.8999938964844,3.5199999809265137,16.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.99945068359375,40.33222579956055,19.04541778564453,300.3299560546875,3.4200000762939453,19.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.99945068359375,40.33222579956055,19.04541778564453,300.3299560546875,3.4200000762939453,25.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.9895935058594,40.33088684082031,19.044790267944336,300.32000732421875,3.4000000953674316,24.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,297.07305908203125,40.03859329223633,18.990482330322266,300.3600158691406,3.5399999618530273,11.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,297.0692443847656,40.03859329223633,19.049894332885742,300.3599853515625,3.5399999618530273,17.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,297.019775390625,40.03192901611328,19.046724319458008,300.30999755859375,3.680000066757202,22.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.9269714355469,40.01993179321289,19.100404739379883,300.2200012207031,3.4000000953674316,21.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.9071960449219,40.017269134521484,19.09913444519043,300.20001220703125,3.450000047683716,18.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.8973083496094,40.015933990478516,19.098495483398438,300.19000244140625,3.4200000762939453,16.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.89892578125,39.80236053466797,18.889917373657227,300.1499938964844,3.7799999713897705,14.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.8890380859375,39.8010368347168,18.889291763305664,300.1400146484375,3.7300000190734863,13.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.9483947753906,39.80899429321289,18.893064498901367,300.20001220703125,3.5399999618530273,13.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.94464111328125,39.80899429321289,18.952455520629883,300.2000427246094,3.5399999618530273,23.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.94464111328125,39.80899429321289,18.952455520629883,300.2000427246094,3.569999933242798,25.0,trajectory-guided pseudo ground truth
9,16,1649364329.999841,1773980383.5099049,296.905029296875,39.803688049316406,18.94993019104004,300.1600036621094,3.4700000286102295,16.0,trajectory-guided pseudo ground truth
