frame,cx,cy,cz,height,background,neighborhood,cluster,source_frame,header_time,bag_time,raw,intensity,height_direct,median_vr,mean_intensity,range,center_observed,center_support
0,221.4435272216797,7.273963928222656,12.964800834655762,5,0,0,0,0,1649362918.725905,1763539034.076021,5,5,5,0.0,22.0,221.94195718766238,True,5
1,221.51170349121094,7.245609283447266,12.906549453735352,7,0,0,0,1,1649362919.725928,1763539035.0743217,7,7,7,-0.2199999988079071,36.42856979370117,222.0056590636109,True,7
2,221.5922088623047,7.290580749511719,12.911243438720703,9,0,0,0,2,1649362920.725948,1763539036.0754592,9,9,9,-0.2199999988079071,23.33333396911621,222.0877299701051,True,9
3,221.56443786621094,7.371037483215332,12.865166664123535,2,0,0,0,3,1649362921.72597,1763539037.082085,2,2,2,0.20999999344348907,32.0,222.06000277817859,True,2
4,221.4241943359375,8.628061294555664,12.961442947387695,10,0,0,0,4,1649362922.725991,1763539038.0634234,10,10,10,0.10000000149011612,25.899999618530273,221.97098072112942,True,10
5,221.1291046142578,10.92455005645752,12.877604484558105,10,0,0,0,5,1649362923.726014,1763539039.0730522,10,10,10,0.10000000149011612,21.200000762939453,221.7729906880009,True,10
6,220.8413848876953,13.945402145385742,12.829503059387207,7,0,0,0,6,1649362924.726036,1763539040.067581,7,7,7,0.10000000149011612,24.85714340209961,221.65285396056268,True,7
7,220.33177185058594,17.18256950378418,12.66461181640625,6,0,0,0,7,1649362925.726059,1763539041.0656605,6,6,6,0.10000000149011612,24.16666603088379,221.36332752746395,True,6
8,220.0619354248047,20.58315658569336,12.576764106750488,9,9,9,9,8,1649362926.726079,1763539042.0707748,9,9,9,-0.10999999940395355,31.11111068725586,221.37998272955693,True,9
9,219.80636596679688,24.048290252685547,12.45985221862793,8,8,8,8,9,1649362927.726101,1763539043.0618196,9,8,8,-0.2199999988079071,30.375,221.46874881327363,True,8
10,219.51080322265625,27.67662239074707,12.360519409179688,8,8,8,8,10,1649362928.726124,1763539044.0619655,8,8,8,-0.2199999988079071,25.625,221.59370613462923,True,8
11,219.26473999023438,31.323974609375,12.227680206298828,11,11,11,11,11,1649362929.72615,1763539045.0595775,11,11,11,-0.4300000071525574,32.54545593261719,221.8281626654771,True,11
12,218.9669647216797,35.201202392578125,12.086456298828125,12,12,12,12,12,1649362930.726168,1763539046.09149,12,12,12,-0.33000001311302185,26.75,222.10749360427272,True,12
13,218.65869140625,39.00860595703125,11.884845733642578,8,8,8,8,13,1649362931.726188,1763539047.0695827,8,8,8,-0.4300000071525574,22.875,222.42873965456238,True,8
14,218.3974609375,42.98200607299805,11.731911659240723,12,12,12,12,14,1649362932.72621,1763539048.0745902,12,12,12,-0.6499999761581421,26.91666603088379,222.89580871157338,True,12
15,218.2479705810547,47.0677375793457,11.629042625427246,12,12,12,12,15,1649362933.726236,1763539049.0663152,12,12,12,-0.75,27.58333396911621,223.56829653591555,True,12
16,217.96363830566406,51.06143569946289,11.500670433044434,13,13,13,13,16,1649362934.726255,1763539050.0879543,13,13,13,-0.5400000214576721,24.846153259277344,224.15995016849516,True,13
17,217.99769592285156,51.43006134033203,11.421370506286621,9,9,9,9,17,1649362935.726277,1763539051.0669692,9,9,9,0.10000000149011612,26.88888931274414,224.27325819496232,True,9
18,218.3369903564453,49.250389099121094,11.563925743103027,7,7,7,7,18,1649362936.7263,1763539052.080139,7,7,7,0.20999999344348907,30.428571701049805,224.12132108060874,True,7
19,218.6392059326172,46.552162170410156,11.581193923950195,5,5,5,5,19,1649362937.726323,1763539053.0709467,5,5,5,0.3199999928474426,25.399999618530273,223.83996565915052,True,5
20,218.9164581298828,43.284759521484375,11.560744285583496,10,10,10,10,20,1649362938.726347,1763539054.076306,10,10,10,0.41999998688697815,25.899999618530273,223.4538808242142,True,10
21,219.22232055664062,39.2950553894043,11.634061813354492,5,5,5,5,21,1649362939.726364,1763539055.0701265,5,5,5,0.3199999928474426,25.799999237060547,223.01990629217786,True,5
22,219.42446899414062,35.85009002685547,11.717397689819336,8,8,8,8,22,1649362940.726387,1763539056.076798,8,8,8,0.3199999928474426,25.25,222.64236783890797,True,8
23,219.8183135986328,31.67706871032715,11.736223220825195,10,10,10,10,23,1649362941.726408,1763539057.069123,10,10,10,0.20999999344348907,30.100000381469727,222.39889075918228,True,10
24,220.0807647705078,28.181026458740234,11.90854549407959,7,7,7,7,24,1649362942.726432,1763539058.0700045,7,7,7,0.20999999344348907,20.14285659790039,222.19704482738823,True,7
25,220.45790100097656,23.832109451293945,11.925779342651367,7,7,7,7,25,1649362943.726456,1763539059.0755527,7,7,7,0.10000000149011612,25.428571701049805,222.06278339150944,True,7
26,220.5911407470703,20.42209243774414,12.012002944946289,5,5,5,5,26,1649362944.726481,1763539060.0655375,5,5,5,0.10000000149011612,26.399999618530273,221.859868949702,True,5
27,220.86871337890625,16.821218490600586,12.076943397521973,4,4,4,4,27,1649362945.726496,1763539061.0672762,4,4,4,-0.054999999701976776,26.25,221.83731539799365,True,4
28,221.1479034423828,13.793864250183105,12.135473251342773,5,5,0,0,28,1649362946.726519,1763539062.0674822,5,5,5,-0.2199999988079071,23.399999618530273,221.90974651634392,True,5
29,221.5000457763672,10.250368118286133,12.150359153747559,12,12,10,10,29,1649362947.726542,1763539063.0707054,12,12,12,-0.2199999988079071,27.16666603088379,222.06974479441857,True,12
30,221.78640747070312,7.176974296569824,12.170524597167969,5,0,0,0,30,1649362948.726566,1763539064.0691872,5,5,5,-0.2199999988079071,25.399999618530273,222.23600331131013,True,5
31,221.9988555908203,4.6788153648376465,12.395956039428711,5,5,5,5,31,1649362949.726587,1763539065.0703433,5,5,5,-0.33000001311302185,29.200000762939453,222.39389137965006,True,5
32,222.4340362548828,1.6103845834732056,12.483672142028809,14,14,14,14,32,1649362950.726607,1763539066.0824277,15,14,14,-0.4300000071525574,28.85714340209961,222.78989181130925,True,14
33,222.6935272216797,-0.8029918670654297,12.541966438293457,5,5,5,5,33,1649362951.726629,1763539067.0789173,5,5,5,-0.2199999988079071,25.0,223.04787106025208,True,5
34,222.9319610595703,-3.282548427581787,12.524575233459473,9,9,9,9,34,1649362952.726655,1763539068.0765522,9,9,9,-0.33000001311302185,25.33333396911621,223.30763392867647,True,9
35,223.091796875,-5.828500270843506,12.563750267028809,14,14,14,14,35,1649362953.726676,1763539069.0742567,14,14,14,-0.2750000059604645,26.14285659790039,223.5212944421532,True,14
36,223.23377990722656,-8.119675636291504,12.51417064666748,6,6,6,6,36,1649362954.726694,1763539070.0748115,6,6,6,-0.33000001311302185,25.33333396911621,223.73165643484734,True,6
37,223.37564086914062,-10.354897499084473,12.594951629638672,8,8,8,8,37,1649362955.726716,1763539071.0727215,8,8,8,-0.2750000059604645,29.25,223.96993914913844,True,8
38,223.47608947753906,-12.46928882598877,12.662266731262207,6,6,6,6,38,1649362956.72674,1763539072.0687833,6,6,6,-0.33000001311302185,22.33333396911621,224.18157535973512,True,6
39,223.50839233398438,-13.493151664733887,12.68332576751709,7,7,7,7,39,1649362957.726763,1763539073.0734556,7,7,7,0.10000000149011612,28.428571701049805,224.27423690226829,True,7
40,223.3075714111328,-12.193336486816406,12.796104431152344,5,5,5,5,40,1649362958.726793,1763539074.066987,6,5,5,0.3199999928474426,27.0,224.00600258214482,True,5
41,223.07659912109375,-9.80835247039795,12.938048362731934,3,3,3,3,41,1649362959.726804,1763539075.0689733,3,3,3,0.5299999713897705,28.33333396911621,223.6666402239125,True,3
42,222.8180694580078,-6.851171016693115,13.036969184875488,7,7,7,7,42,1649362960.726826,1763539076.0784905,7,7,7,0.3199999928474426,27.428571701049805,223.30426146139925,True,7
43,222.5078582763672,-3.534726858139038,13.079414367675781,7,7,7,7,43,1649362961.726848,1763539077.06909,7,7,7,0.41999998688697815,22.85714340209961,222.91996852883977,True,7
44,222.17063903808594,0.25965893268585205,12.985806465148926,6,6,6,6,44,1649362962.726871,1763539078.072971,6,6,6,0.5299999713897705,29.33333396911621,222.5499751581723,True,6
45,221.74136352539062,5.057707786560059,12.890275001525879,9,9,9,9,45,1649362963.726893,1763539079.0845098,9,9,9,0.3199999928474426,28.88888931274414,222.1732924898234,True,9
46,221.3805389404297,9.923378944396973,12.644712448120117,9,9,9,9,46,1649362964.726915,1763539080.063783,10,9,9,0.10000000149011612,29.44444465637207,221.96329702030658,True,9
