frame,timestamp,track_id,cx,cy,cz,range,n_points,dynamic_points,target_share,diameter,span_x,span_y,span_z,radial_thickness,tangential_radius_max,intensity_q25,intensity_median,intensity_q75,vr_q25,vr_median,vr_q75,n_dynamic_clusters,cluster_size_rank,nearest_other_cluster,duplicate_track_ids,step_xy,geometric_dr
8,1649361783.0,3,323.82635498046875,6.450656890869141,13.576271057128906,324.1750183105469,2,7,0.2857142857142857,0.05001109540290927,0.049957275390625,0.0009951591491699219,0.0020952224731445312,0.05001109093427658,5.598233769887884e-07,16.25,16.5,16.75,9.729999542236328,9.729999542236328,9.729999542236328,6,1,64.55606079101562,,nan,-8.185016249924558
9,1649361784.0,3,315.6341552734375,7.045992851257324,13.232815742492676,315.989990234375,1,16,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,9.520000457763672,9.520000457763672,9.520000457763672,12,4,37.02574157714844,,8.213803074435996,-8.375054751844885
10,1649361785.0,3,307.0609436035156,7.177858352661133,13.119528770446777,307.4248962402344,4,15,0.26666666666666666,0.6504201933896149,0.40087890625,0.470794677734375,0.2597179412841797,0.42000553011894226,0.26131999492645264,13.0,14.0,15.0,9.199999809265137,9.199999809265137,9.224999904632568,11,1,62.79405975341797,,8.574225728760883,-8.163361299176557
11,1649361786.0,3,299.2796325683594,7.725574493408203,13.041874885559082,299.66326904296875,6,17,0.35294117647058826,0.7333149154312935,0.502593994140625,0.5802397727966309,0.18404293060302734,0.5202826857566833,0.44429653882980347,17.0,17.0,19.25,8.15499997138977,8.229999542236328,8.229999542236328,11,1,46.5721321105957,,7.800563723006133,-7.1699506209111235
12,1649361787.0,3,292.70721435546875,7.062664985656738,13.092733383178711,293.0849914550781,2,13,0.15384615384615385,0.059451465470655655,0.00738525390625,0.00024127960205078125,0.058990478515625,0.010016780346632004,0.02930077165365219,33.25,33.5,33.75,7.297500014305115,7.325000047683716,7.352500081062317,10,2,42.30506896972656,,6.605764920174172,-6.60866102557037
13,1649361788.0,3,286.0942687988281,6.3071208000183105,12.710973739624023,286.4459533691406,5,14,0.35714285714285715,0.6501831228813958,0.381591796875,0.4673309326171875,0.24623394012451172,0.39984047412872314,0.3844105899333954,16.0,18.0,21.0,7.159999847412109,7.269999980926514,7.269999980926514,10,1,38.75035095214844,,6.65596694339335,-6.471286975296579
14,1649361789.0,3,279.7894287109375,6.050709247589111,12.690174102783203,280.1424255371094,4,16,0.25,0.5333159285583067,0.306060791015625,0.3990020751953125,0.18196868896484375,0.3200000524520874,0.21616871654987335,18.25,20.5,24.5,7.134999871253967,7.159999847412109,7.159999847412109,13,1,34.90540313720703,,6.310051934658843,-6.1080011787901185
15,1649361790.0,3,273.8902893066406,5.347249507904053,12.552993774414062,274.2299499511719,3,18,0.16666666666666666,0.5554510502235589,0.302703857421875,0.4176597595214844,0.20604991912841797,0.31990498304367065,0.29546061158180237,21.5,26.0,26.5,6.575000047683716,6.630000114440918,6.630000114440918,14,1,41.52678680419922,,5.940934380775961,-5.961970144178167
16,1649361791.0,3,267.8871154785156,4.7972846031188965,12.43514347076416,268.2184753417969,7,16,0.4375,0.8590517960909068,0.69342041015625,0.4687371253967285,0.29869842529296875,0.7099162340164185,0.28151071071624756,16.5,26.0,30.5,6.739999771118164,6.739999771118164,6.840000152587891,9,1,41.84170150756836,,6.028312981853241,-5.915030504640498
17,1649361792.0,3,262.0674743652344,4.325321197509766,12.475104331970215,262.3998718261719,6,18,0.3333333333333333,0.8705665753266202,0.631927490234375,0.6653919219970703,0.13392353057861328,0.6400858759880066,0.39961040019989014,20.25,21.5,23.5,6.547500014305115,6.630000114440918,6.630000114440918,12,1,64.11328887939453,1,5.8387474807211515,-5.792132183164341
18,1649361793.0,3,256.2989196777344,4.172115802764893,12.432948112487793,256.63421630859375,7,19,0.3684210526315789,0.9360148476597875,0.69598388671875,0.6014180183410645,0.18771648406982422,0.7102165818214417,0.3799630105495453,17.5,20.0,26.5,6.309999942779541,6.409999847412109,6.575000047683716,11,1,70.61492919921875,1,5.770588798004685,-6.106904967772252
19,1649361794.0,3,249.85086059570312,3.8643579483032227,12.356558799743652,250.18606567382812,13,24,0.5416666666666666,0.5642807233424069,0.4177093505859375,0.3567335605621338,0.3393430709838867,0.419965535402298,0.2548034191131592,22.0,26.0,35.0,7.809999942779541,7.809999942779541,7.809999942779541,11,1,79.73031616210938,1,6.455399354211058,-6.8332348791641095
20,1649361795.0,3,242.61878967285156,3.984565258026123,12.392416954040527,242.96775817871094,9,21,0.42857142857142855,0.5754196658042184,0.5280609130859375,0.22757911682128906,0.16635894775390625,0.5299373865127563,0.18217481672763824,21.0,28.0,30.0,8.770000457763672,8.770000457763672,8.880000114440918,13,1,43.447078704833984,1,7.233069862130869,-7.58394465214451
21,1649361796.0,3,234.66160583496094,3.975951910018921,12.315376281738281,235.0181884765625,6,16,0.375,1.0425019367697559,0.9748992919921875,0.6010713577270508,0.13427448272705078,0.9798814058303833,0.33427563309669495,22.5,25.0,26.0,8.714999914169312,8.880000114440918,8.880000114440918,10,1,67.44822692871094,1,7.9571884996996065,-7.732894532215127
22,1649361797.0,3,227.126953125,4.185900688171387,12.367944717407227,227.501953125,5,11,0.45454545454545453,0.5276850965856343,0.4301605224609375,0.23548364639282227,0.2053699493408203,0.44002848863601685,0.1639672815799713,30.0,31.0,36.0,8.65999984741211,8.65999984741211,8.770000457763672,7,1,54.202735900878906,1,7.537577193579474,-7.525537471910766
23,1649361798.0,3,219.5792999267578,4.2891340255737305,12.331367492675781,219.9671173095703,7,24,0.2916666666666667,0.4461255984638731,0.3789215087890625,0.16146469116210938,0.19676876068115234,0.39000463485717773,0.14074808359146118,19.0,23.0,31.5,8.020000457763672,8.130000114440918,8.235000133514404,16,1,43.9453125,1,7.54835915433856,-7.27029824923558
24,1649361799.0,3,212.5583953857422,4.493260383605957,12.29961109161377,212.9613494873047,7,17,0.4117647058823529,0.6166139184868241,0.498291015625,0.3511314392089844,0.1711416244506836,0.5101205706596375,0.25528886914253235,17.5,21.0,31.5,7.380000114440918,7.380000114440918,7.380000114440918,10,1,67.01622772216797,1,7.023871307484024,-6.73658550994206
